Species,Product Type,Domestic Production,Protein Consumption,Emissions|CO2,Emissions|CH4,Emissions|N2O,Land Use,ACO2EQ,EI_perunit,EI_perprotein,DD
Buffalo,Meat,4290212.0,619200.0391796983,28.63585009533223,5.000432372799503,0.19857917022618288,1.015487992804357,1.5834010501321447,553.6093729629719,2557.1720767811926,2247.6193185892703
Cattle,Meat,67893363.0,10435590.303447139,236.04489971141678,49.30149238064934,2.411949605177225,17.11344466448661,21.246065497204334,469.3351179343737,2035.9236880146814,1905.4711308730461
Sheep,Meat,9648245.0,1354398.3152700008,31.66999406032397,5.021247737848911,0.32517327030332643,2.515142591064503,2.851026752754461,444.9261807268393,2105.0135108785244,1806.3723773236616
Goats,Meat,6128372.0,821383.1808000035,20.63466563790203,3.339640999298711,0.11360382945855306,0.823556987483059,1.158029538798826,284.22636411237715,1409.8529965891662,1153.9412048106622
Pigs,Meat,110102495.0,14447437.940000014,278.1617765346375,7.188181058109542,0.6158207237257615,1.589901765276033,2.5633595019900737,34.94416491101017,177.4265798985028,141.8711170036657
Chickens,Meat,123898557.0,17393439.84750002,305.7659379824351,0.29343162832890707,0.5205604808125681,1.2533964157545716,1.3376331303831845,16.438328710493774,76.90446180347966,66.73858315888316
Chickens,Meat,7363110.0,1044797.0324999996,26.715672401281356,0.023535902382826768,0.049261838283217445,0.07434569530308614,0.09938678293757043,20.333063927328563,95.12544527405177,82.55096376814959
Buffalo,Milk,133752296.0,4510016.642340903,118.88706423579723,10.872295790914098,0.44547728421727556,1.1903954344,2.633763604993299,19.691352475873007,583.98090602749,79.94565553875309
Cattle,Milk,712883270.0,23889272.74151767,337.7636668155152,37.62857269622209,1.775197395849301,6.328450028900002,10.75500196022876,15.180443637521376,450.2021504211559,61.63164868729693
Sheep,Milk,10172020.0,624047.9125724852,9.696341430077693,1.7243188368588014,0.12149964489129025,0.09053071099999999,0.3591314870500969,34.90763429902624,575.4870416434294,141.72280501108594
Goats,Milk,18752379.0,702585.4841073382,10.131341632965789,1.7430893469147857,0.06311700741729097,0.16689617310000004,0.389389381226284,20.76479902770118,554.2234931326802,84.30378118689562
Chickens,Eggs,88361696.0,10982732.576000012,159.12629572114616,0.5741370915461727,0.3531387036813543,0.6254803983870965,0.7382061808626332,8.334680444373092,67.21516487397648,33.838279653357915
