Species,Product Type,Primary Production,Protein Production,Emissions|CO2,Emissions|CH4,Emissions|N2O,Land Use,ACO2EQ,EI_perunit,EI_perprotein,DD
Buffalo,Meat,4290212.0,619200.0391796983,28.849643750291108,5.000432372799502,0.19857917022618288,1.0154879928043568,1.6285787687547866,569.4049974994662,2630.1335040486906,2604.380812426535
Cattle,Meat,68281663.0,10493838.757486563,615.802997484819,49.30281301204821,2.4120171769589245,17.20989460004665,22.329010537853584,490.5199190415204,2127.8210056280427,2243.5712206160447
Sheep,Meat,9913245.0,1396875.3529500007,31.857166819778342,5.021942291786749,0.32520373881126957,2.584219551601809,3.0619949424182176,463.31876329368697,2192.031619680112,2119.1568434739656
Goats,Meat,6248372.0,839781.1968000032,20.655822604882587,3.340024961833327,0.11362108454156412,0.8397812182983998,1.2144490572077502,291.5437150367529,1446.1493801426177,1333.4811966169661
Pigs,Meat,110102495.0,14456457.593500014,359.27272697744115,7.189420246897938,0.6159330297484974,1.5902103833093546,2.5263397366128766,34.41801754737088,174.7551030584963,157.4233188956452
Chickens,Meat,123973557.0,17666231.87250001,440.36701748111534,0.2934614453777892,0.5206100832617458,1.2543024378614513,1.2770646915724275,15.451658270631382,72.28845974564385,70.67377788555831
Chickens,Meat,7363110.0,1049243.175,36.05689824235217,0.023575562305727816,0.04933247130101015,0.07449626393507479,0.08706501179347123,17.73673321330346,82.97886883416824,81.12539907221183
Buffalo,Milk,133752296.0,4510016.642340903,121.33131998066266,10.872295790914102,0.4454772842172755,1.1903954344,2.6357284595888095,19.706042725343643,584.4165706272753,90.13275223807744
Cattle,Milk,715871270.0,24138586.312370434,357.4109617630887,37.680715975438595,1.778156790720149,6.371254303000001,11.112289034756397,15.522747595047916,460.3537626833441,70.99893076144075
Sheep,Milk,10587020.0,642182.7004498569,10.104340173988273,1.7243212567031048,0.12149971218607372,0.094224478,0.3651367465292913,34.48909575397905,568.5870177965063,157.74842092018824
Goats,Milk,19910379.0,745971.6587679662,10.324920786078842,1.7430893469147866,0.06311700741729094,0.17720237310000003,0.40604073565335935,20.393420720587958,544.3112092542084,93.27672545496196
Chickens,Eggs,88431696.0,10965530.304000014,221.1558866958955,0.5740151094069175,0.3530171057805684,0.6253854431761785,0.7260203667030616,8.209956379249602,66.20932563910961,37.55122093918141
