Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,1025,"Skins, goat, fresh",5320,Producing Animals/Slaughtered,2019,2019,Head,3664553.0,Im
2,Afghanistan,1025,"Skins, goat, fresh",5420,Yield,2019,2019,hg/An,20.0,Fc
2,Afghanistan,1025,"Skins, goat, fresh",5510,Production,2019,2019,tonnes,7199.0,Im
2,Afghanistan,995,"Skins, sheep, fresh",5320,Producing Animals/Slaughtered,2019,2019,Head,5396671.0,Im
2,Afghanistan,995,"Skins, sheep, fresh",5420,Yield,2019,2019,hg/An,25.0,Fc
2,Afghanistan,995,"Skins, sheep, fresh",5510,Production,2019,2019,tonnes,13649.0,Im
2,Afghanistan,987,"Wool, greasy",5510,Production,2019,2019,tonnes,14722.0,Im
2,Afghanistan,1806,Beef and Buffalo Meat,5320,Producing Animals/Slaughtered,2019,2019,Head,529954.0,A
2,Afghanistan,1806,Beef and Buffalo Meat,5417,Yield/Carcass Weight,2019,2019,hg/An,1800.0,Fc
2,Afghanistan,1806,Beef and Buffalo Meat,5510,Production,2019,2019,tonnes,95398.0,A
2,Afghanistan,1783,Eggs Primary,5313,Laying,2019,2019,1000 Head,10517.0,A
2,Afghanistan,1783,Eggs Primary,5410,Yield,2019,2019,100mg/An,21070.0,Fc
2,Afghanistan,1783,Eggs Primary,5510,Production,2019,2019,tonnes,22159.0,A
2,Afghanistan,1808,"Meat, Poultry",5321,Producing Animals/Slaughtered,2019,2019,1000 Head,35616.0,A
2,Afghanistan,1808,"Meat, Poultry",5424,Yield/Carcass Weight,2019,2019,0.1g/An,8000.0,Fc
2,Afghanistan,1808,"Meat, Poultry",5510,Production,2019,2019,tonnes,28493.0,A
2,Afghanistan,1765,"Meat, Total",5510,Production,2019,2019,tonnes,269446.0,A
2,Afghanistan,1780,"Milk, Total",5318,Milk Animals,2019,2019,Head,12192922.0,A
2,Afghanistan,1780,"Milk, Total",5420,Yield,2019,2019,hg/An,1878.0,Fc
2,Afghanistan,1780,"Milk, Total",5510,Production,2019,2019,tonnes,2289365.0,A
2,Afghanistan,1807,Sheep and Goat Meat,5320,Producing Animals/Slaughtered,2019,2019,Head,9061224.0,A
2,Afghanistan,1807,Sheep and Goat Meat,5417,Yield/Carcass Weight,2019,2019,hg/An,148.0,Fc
2,Afghanistan,1807,Sheep and Goat Meat,5510,Production,2019,2019,tonnes,133873.0,A
3,Albania,1183,Beeswax,5314,Prod Popultn,2019,2019,No,288329.0,
3,Albania,1062,"Eggs, hen, in shell",5313,Laying,2019,2019,1000 Head,5004.0,
3,Albania,1062,"Eggs, hen, in shell",5410,Yield,2019,2019,100mg/An,108967.0,Fc
3,Albania,1062,"Eggs, hen, in shell",5510,Production,2019,2019,tonnes,54527.0,
3,Albania,1067,"Eggs, hen, in shell (number)",5513,Production,2019,2019,1000 No,865510.0,
3,Albania,1091,"Eggs, other bird, in shell",5510,Production,2019,2019,tonnes,200.0,F
3,Albania,1092,"Eggs, other bird, in shell (number)",5513,Production,2019,2019,1000 No,3120.0,F
3,Albania,869,"Fat, cattle",5320,Producing Animals/Slaughtered,2019,2019,Head,310796.0,
