Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
5000,World,2614,"Citrus, Other",641,Food supply quantity (tonnes),2013,2013,tonnes,11366157.19,A
5000,World,2614,"Citrus, Other",646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,4.45,Fc
5000,World,2614,"Citrus, Other",645,Food supply quantity (kg/capita/yr),2013,2013,kg,1.62,Fc
5000,World,2614,"Citrus, Other",664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2614,"Citrus, Other",674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.02,Fc
5000,World,2614,"Citrus, Other",684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.01,Fc
5000,World,2642,Cloves,641,Food supply quantity (tonnes),2013,2013,tonnes,52779.0,A
5000,World,2642,Cloves,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,0.02,Fc
5000,World,2642,Cloves,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.01,Fc
5000,World,2642,Cloves,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,0.0,Fc
5000,World,2642,Cloves,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2642,Cloves,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2633,Cocoa Beans and products,641,Food supply quantity (tonnes),2013,2013,tonnes,4766205.23,A
5000,World,2633,Cocoa Beans and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,1.87,Fc
5000,World,2633,Cocoa Beans and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.68,Fc
5000,World,2633,Cocoa Beans and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,5.0,Fc
5000,World,2633,Cocoa Beans and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.14,Fc
5000,World,2633,Cocoa Beans and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.43,Fc
5000,World,2578,Coconut Oil,641,Food supply quantity (tonnes),2013,2013,tonnes,2025995.16,A
5000,World,2578,Coconut Oil,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,0.79,Fc
5000,World,2578,Coconut Oil,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.29,Fc
5000,World,2578,Coconut Oil,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,7.0,Fc
5000,World,2578,Coconut Oil,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2578,Coconut Oil,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.77,Fc
5000,World,2560,Coconuts - Incl Copra,641,Food supply quantity (tonnes),2013,2013,tonnes,22235818.28,A
5000,World,2560,Coconuts - Incl Copra,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,8.71,Fc
5000,World,2560,Coconuts - Incl Copra,645,Food supply quantity (kg/capita/yr),2013,2013,kg,3.18,Fc
5000,World,2560,Coconuts - Incl Copra,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,12.0,Fc
5000,World,2560,Coconuts - Incl Copra,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.12,Fc
5000,World,2560,Coconuts - Incl Copra,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,1.08,Fc
5000,World,2630,Coffee and products,641,Food supply quantity (tonnes),2013,2013,tonnes,8098536.42,A
5000,World,2630,Coffee and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,3.17,Fc
5000,World,2630,Coffee and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,1.16,Fc
5000,World,2630,Coffee and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2630,Coffee and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.17,Fc
5000,World,2575,Cottonseed Oil,641,Food supply quantity (tonnes),2013,2013,tonnes,3940082.39,A
5000,World,2575,Cottonseed Oil,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,1.54,Fc
5000,World,2575,Cottonseed Oil,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.56,Fc
5000,World,2575,Cottonseed Oil,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,13.0,Fc
5000,World,2575,Cottonseed Oil,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2575,Cottonseed Oil,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,1.51,Fc
5000,World,2619,Dates,641,Food supply quantity (tonnes),2013,2013,tonnes,6500995.74,A
5000,World,2619,Dates,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,2.55,Fc
5000,World,2619,Dates,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.93,Fc
5000,World,2619,Dates,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,4.0,Fc
5000,World,2619,Dates,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.04,Fc
5000,World,2619,Dates,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.01,Fc
5000,World,2625,"Fruits, Other",641,Food supply quantity (tonnes),2013,2013,tonnes,185478771.27,A
5000,World,2625,"Fruits, Other",646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,72.62,Fc
5000,World,2625,"Fruits, Other",645,Food supply quantity (kg/capita/yr),2013,2013,kg,26.51,Fc
5000,World,2625,"Fruits, Other",664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,31.0,Fc
5000,World,2625,"Fruits, Other",674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.37,Fc
5000,World,2625,"Fruits, Other",684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.36,Fc
5000,World,2613,Grapefruit and products,641,Food supply quantity (tonnes),2013,2013,tonnes,8287175.41,A
5000,World,2613,Grapefruit and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,3.24,Fc
5000,World,2613,Grapefruit and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,1.18,Fc
5000,World,2613,Grapefruit and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2613,Grapefruit and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.01,Fc
5000,World,2613,Grapefruit and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2620,Grapes and products (excl wine),641,Food supply quantity (tonnes),2013,2013,tonnes,32107486.87,A
5000,World,2620,Grapes and products (excl wine),646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,12.57,Fc
5000,World,2620,Grapes and products (excl wine),645,Food supply quantity (kg/capita/yr),2013,2013,kg,4.59,Fc
5000,World,2620,Grapes and products (excl wine),664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,7.0,Fc
5000,World,2620,Grapes and products (excl wine),674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.07,Fc
5000,World,2620,Grapes and products (excl wine),684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.03,Fc
5000,World,2572,Groundnut Oil,641,Food supply quantity (tonnes),2013,2013,tonnes,3848449.39,A
5000,World,2572,Groundnut Oil,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,1.51,Fc
5000,World,2572,Groundnut Oil,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.55,Fc
5000,World,2572,Groundnut Oil,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,13.0,Fc
5000,World,2572,Groundnut Oil,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2572,Groundnut Oil,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,1.51,Fc
5000,World,2820,Groundnuts (in Shell Eq),641,Food supply quantity (tonnes),2013,2013,tonnes,25454833.73,A
5000,World,2556,Groundnuts (Shelled Eq),641,Food supply quantity (tonnes),2013,2013,tonnes,12212596.66,A
5000,World,2556,Groundnuts (Shelled Eq),646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,4.78,Fc
5000,World,2556,Groundnuts (Shelled Eq),645,Food supply quantity (kg/capita/yr),2013,2013,kg,1.75,Fc
5000,World,2556,Groundnuts (Shelled Eq),664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,25.0,Fc
5000,World,2556,Groundnuts (Shelled Eq),674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,1.1,Fc
5000,World,2556,Groundnuts (Shelled Eq),684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,2.11,Fc
5000,World,2680,Infant food,641,Food supply quantity (tonnes),2013,2013,tonnes,768227.0,A
5000,World,2680,Infant food,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,0.3,Fc
5000,World,2680,Infant food,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.11,Fc
5000,World,2680,Infant food,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2680,Infant food,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.05,Fc
5000,World,2680,Infant food,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.01,Fc
5000,World,2612,"Lemons, Limes and products",641,Food supply quantity (tonnes),2013,2013,tonnes,14192480.66,A
5000,World,2612,"Lemons, Limes and products",646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,5.56,Fc
5000,World,2612,"Lemons, Limes and products",645,Food supply quantity (kg/capita/yr),2013,2013,kg,2.03,Fc
5000,World,2612,"Lemons, Limes and products",664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2612,"Lemons, Limes and products",674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.02,Fc
5000,World,2612,"Lemons, Limes and products",684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.03,Fc
5000,World,2514,Maize and products,641,Food supply quantity (tonnes),2013,2013,tonnes,125181123.69,A
5000,World,2514,Maize and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,49.01,Fc
5000,World,2514,Maize and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,17.89,Fc
5000,World,2514,Maize and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,147.0,Fc
5000,World,2514,Maize and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,3.58,Fc
5000,World,2514,Maize and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,1.26,Fc
5000,World,2582,Maize Germ Oil,641,Food supply quantity (tonnes),2013,2013,tonnes,2201195.68,A
5000,World,2582,Maize Germ Oil,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,0.86,Fc
5000,World,2582,Maize Germ Oil,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.31,Fc
5000,World,2582,Maize Germ Oil,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,8.0,Fc
5000,World,2582,Maize Germ Oil,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
5000,World,2582,Maize Germ Oil,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.86,Fc
5000,World,2517,Millet and products,641,Food supply quantity (tonnes),2013,2013,tonnes,23043935.97,A
5000,World,2517,Millet and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,9.02,Fc
5000,World,2517,Millet and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,3.29,Fc
5000,World,2517,Millet and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,27.0,Fc
5000,World,2517,Millet and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.71,Fc
5000,World,2517,Millet and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.28,Fc
5000,World,2899,Miscellaneous,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,1.0,Fc
5000,World,2899,Miscellaneous,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.04,Fc
5000,World,2899,Miscellaneous,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.01,Fc
5000,World,2544,Molasses,641,Food supply quantity (tonnes),2013,2013,tonnes,44300.0,A
5000,World,2551,Nuts and products,641,Food supply quantity (tonnes),2013,2013,tonnes,16408449.48,A
5000,World,2551,Nuts and products,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,6.42,Fc
5000,World,2551,Nuts and products,645,Food supply quantity (kg/capita/yr),2013,2013,kg,2.34,Fc
5000,World,2551,Nuts and products,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,16.0,Fc
5000,World,2551,Nuts and products,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.43,Fc
5000,World,2551,Nuts and products,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,1.24,Fc
5000,World,2516,Oats,641,Food supply quantity (tonnes),2013,2013,tonnes,3909401.94,A
5000,World,2516,Oats,646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,1.53,Fc
5000,World,2516,Oats,645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.56,Fc
5000,World,2516,Oats,664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,3.0,Fc
5000,World,2516,Oats,674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.13,Fc
5000,World,2516,Oats,684,Fat supply quantity (g/capita/day),2013,2013,g/capita/day,0.05,Fc
5000,World,2586,"Oilcrops Oil, Other",641,Food supply quantity (tonnes),2013,2013,tonnes,1754625.93,A
5000,World,2586,"Oilcrops Oil, Other",646,Food supply quantity (g/capita/day),2013,2013,g/capita/day,0.69,Fc
5000,World,2586,"Oilcrops Oil, Other",645,Food supply quantity (kg/capita/yr),2013,2013,kg,0.25,Fc
5000,World,2586,"Oilcrops Oil, Other",664,Food supply (kcal/capita/day),2013,2013,kcal/capita/day,6.0,Fc
5000,World,2586,"Oilcrops Oil, Other",674,Protein supply quantity (g/capita/day),2013,2013,g/capita/day,0.0,Fc
